Mata Kuliah,SKS,Nilai,Dikti?
BAHASA ARAB,3,A,1
BAHASA INDONESIA,3,A,1
BAHASA INGGRIS,3,B,0
BIOLOGI UMUM,2,B,1
DASAR-DASAR TELEKOMUNIKASI,3,A,1
EKSPERIMEN FISIKA 1,2,B,1
EKSPERIMEN FISIKA 2,2,B,1
ELEKTORNIKA LANJUT,2,A,1
ELEKTRONIKA,3,A,1
FISIKA DASAR 1,3,A,1
FISIKA DASAR 2,3,A,1
FISIKA KOMPUTASI,3,A,0
FISIKA KUANTUM,4,A,1
FISIKA MATEMATIKA 2,4,A,0
FISIKA MATEMATIKA I,4,A,1
FISIKA MODERN,3,A,1
FISIKA STATISTIK,4,A,1
FISIKA ZAT PADAT,4,A,1
GELOMBANG,3,B,1
ILMU PEDAGOGIK,2,A,1
INSTRUMENTASI FISIKA MEDIS,3,B,1
ISLAM DAN ILMU PENGETAHUAN,3,A,1
KALKULUS 1,3,A,1
KALKULUS 2,3,A,1
KEWIRAUSAHAAN,2,A,1
KIMIA DASAR,2,B,1
KULIAH KERJA NYATA (KKN),3,A,1
MEDAN ELEKTROMAGNET 1,4,A,1
MEDAN ELKTROMAGNET 2,3,A,1
MEKANIKA,4,A,1
MEKANIKA KLASIKA,4,A,1
METODE NUMERIK,2,A,1
METODOLOGI  PENELITIAN  FISIKA,3,A,1
MICROPROSESOR,3,B,1
PANCASILA,2,A,0
PEMROGRAMAN SISTEM INSTRUMENTASI,3,A,1
PENDAHULUAN FISIKA INTI,4,A,1
PENDIDIKAN KEWARGANEGARAAN,2,B,1
PENGOLAHAN SINYAL DIGITAL,2,B,1
PRAKTEK BENGKEL,2,A,0
PRAKTEK KERJA LAPANGAN,3,A,1
PRAKTIKUM ELEKTRONIKA,1,B,1
PRAKTIKUM ELEKTRONIKA LANJUT,1,A,1
PRAKTIKUM FISIKA DASAR 1,1,A,1
PRAKTIKUM FISIKA DASAR 2,1,A,1
PRAKTIKUM FISIKA KOMPUTASI,1,A,1
PRAKTIKUM IBADAH,1,A,1
PRAKTIKUM KIMIA DASAR,1,C,1
PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,1,A,1
PRAKTIKUM QIROAH,1,A,1
PRAKTIKUM SISTEM DIGITAL,1,A,1
PRAKTIKUM SISTEM KENDALI,1,A,1
SEMINAR SKRIPSI,1,A,0
SISTEM DIGITAL,2,A,1
SISTEM KENDALI,2,B,1
SISTEM SENSOR,3,B,1
STATISTIKA,3,A,1
STUDI ISLAM ,4,A,1
TEORI RANGKAIAN,2,A,1
THERMODINAMIKA,3,A,0
,,,
PRAKTIKUM MIKROPROCESSOR,null,null,1
,,,
Total,151,,
Dikti,133,,
